content,length,word_count,type
RERA Project List,17,3,visible_text
This is the official website of Karnataka Real Estate Regulatory Authority,74,11,visible_text
A+,2,1,visible_text
A,1,1,visible_text
A-,2,1,visible_text
ಕನ್ನಡ,5,1,visible_text
Home,4,1,visible_text
About Us,8,2,visible_text
About RERA,10,2,visible_text
Organisation Chart,18,2,visible_text
Media Gallery,13,2,visible_text
K-REAT,6,1,visible_text
About,5,1,visible_text
Objective,9,1,visible_text
Filing Appeal,13,2,visible_text
Enforcement of Tribunal Order,29,4,visible_text
Regulations,11,1,visible_text
Working Hours,13,2,visible_text
Contact Us,10,2,visible_text
Daily Cause List,16,3,visible_text
Daily Orders,12,2,visible_text
Judgments,9,1,visible_text
Public Notifications,20,2,visible_text
KREAT Fees,10,2,visible_text
Registration,12,1,visible_text
Project Registration,20,2,visible_text
Agent Registration,18,2,visible_text
Complaint Registration,22,2,visible_text
Apply for Project Extension,27,4,visible_text
Apply for Project Change Request,32,5,visible_text
Apply for Agent Change Request,30,5,visible_text
Post Registration And Quartely Update,37,5,visible_text
Apply for Transfer of Rights,28,5,visible_text
Apply for Modification Plan,27,4,visible_text
Apply for Project Completion,28,4,visible_text
Apply for Agent Renewal,23,4,visible_text
Submit Annual Audit Report,26,4,visible_text
Services,8,1,visible_text
Project Status,14,2,visible_text
Agent Status,12,2,visible_text
Complaint Status,16,2,visible_text
Orders,6,1,visible_text
Interim Orders,14,2,visible_text
Orders of the Authority,23,4,visible_text
Orders of Lok Adalat,20,4,visible_text
Project Extension Status,24,3,visible_text
Online Payment Status,21,3,visible_text
Apply for Certified Copy,24,4,visible_text
Revenue Recovery Certificate List,33,4,visible_text
RTI Links,9,2,visible_text
Project Daily Cause List,24,4,visible_text
Agent Daily Cause List,22,4,visible_text
Complaints,10,1,visible_text
Daily Cause List( Audjudicating Officer ),41,6,visible_text
Daily Orders ( Audjudicating Officer ),38,6,visible_text
Daily Cause List ( Authority ),30,6,visible_text
Daily Orders ( Authority ),26,5,visible_text
Promoter Wise Complaint Report,30,4,visible_text
Project Wise Complaint Report,29,4,visible_text
Complaints Realization List,27,3,visible_text
HelpDesk,8,1,visible_text
Unregistered Projects,21,2,visible_text
Unregistered projects Under Investigation,41,4,visible_text
Report Unregistered Project,27,3,visible_text
Notifications,13,1,visible_text
Circulars,9,1,visible_text
Tender Notifications,20,2,visible_text
Help,4,1,visible_text
Downloads,9,1,visible_text
Rera Act FAQ'S,14,3,visible_text
Rera Rule FAQ'S,15,3,visible_text
FAQ'S,5,1,visible_text
Contact,7,1,visible_text
Login,5,1,visible_text
Authority Login,15,2,visible_text
TEMP Login,10,2,visible_text
Public Login,12,2,visible_text
Complaint Login,15,2,visible_text
Shri. Siddaramaiah,18,2,visible_text
Hon'ble Chief Minister,22,3,visible_text
KARNATAKA REAL ESTATE REGULATORY AUTHORITY,42,5,visible_text
Government of Karnataka,23,3,visible_text
Shri. B.Z. Zameer,17,3,visible_text
Ahmed Khan,10,2,visible_text
Hon'ble Housing Minister,24,3,visible_text
Home / Project Applications,27,4,visible_text
Applications,12,1,visible_text
Applied For Registration (8602),31,4,visible_text
Approved (7187),15,2,visible_text
Rejected (853),14,2,visible_text
Withdrawn/Revoked (82),22,2,visible_text
under Process (316),19,3,visible_text
under Query (137),17,3,visible_text
Third Party Transfer (40),25,4,visible_text
Applied for Completion ( 2542),30,5,visible_text
Search Project,14,2,visible_text
Details :,9,2,visible_text
Please enter atleast one of the search item :,45,9,visible_text
Project Name,12,2,visible_text
Please Enter Application Number.,32,4,visible_text
Promoter / Company / Firm Name,30,6,visible_text
Application No,14,2,visible_text
Registration No,15,2,visible_text
Please Enter Registration Number.,33,4,visible_text
District,8,1,visible_text
--Select District--,19,2,visible_text
Bagalkot,8,1,visible_text
Ballari (Bellary),17,2,visible_text
Belagavi (Belgaum),18,2,visible_text
Bengaluru Rural,15,2,visible_text
Bengaluru Urban,15,2,visible_text
Bidar,5,1,visible_text
Chamrajanagar,13,1,visible_text
Chikballapur,12,1,visible_text
Chikkamagaluru,14,1,visible_text
Chitradurga,11,1,visible_text
Dakshina Kannada,16,2,visible_text
Davangere,9,1,visible_text
Dharwad,7,1,visible_text
Gadag,5,1,visible_text
Hassan,6,1,visible_text
Haveri,6,1,visible_text
Kalaburgi,9,1,visible_text
Kodagu,6,1,visible_text
Kolar,5,1,visible_text
Koppal,6,1,visible_text
Mandya,6,1,visible_text
Mysore,6,1,visible_text
Raichur,7,1,visible_text
Ramanagara,10,1,visible_text
Shivamogga,10,1,visible_text
Tumakuru,8,1,visible_text
Udupi,5,1,visible_text
Uttara Kannada,14,2,visible_text
Vijayanagara,12,1,visible_text
Vijayapura,10,1,visible_text
Yadgir,6,1,visible_text
Please Select District.,23,3,visible_text
Taluk,5,1,visible_text
--Select--,10,1,visible_text
Please select Taluk.,20,3,visible_text
S.No,4,1,visible_text
ACKNOWLEDGEMENT NO,18,2,visible_text
REGISTRATION NO,15,2,visible_text
View Project Details,20,3,visible_text
PROMOTER NAME,13,2,visible_text
PROJECT NAME,12,2,visible_text
STATUS,6,1,visible_text
DISTRICT,8,1,visible_text
TALUK,5,1,visible_text
APPROVED ON,11,2,visible_text
PROPOSED COMPLETION DATE,24,3,visible_text
PROPOSED COMPLETION DATE AT THE TIME OF REGISTRATION,52,8,visible_text
COVID-19 EXTENSION DATE,23,3,visible_text
SECTION 6 EXTENSION DATE,24,4,visible_text
FURTHER EXTENSION DATE,22,3,visible_text
Certificate,11,1,visible_text
Covid Certificate,17,2,visible_text
Renewed Certificate,19,2,visible_text
FURTHER EXTENSION ORDER,23,3,visible_text
COMPLAINTS / LITIGATION,23,3,visible_text
1,1,1,visible_text
PR/KN/170729/000003,19,1,visible_text
PRM/KA/RERA/1251/446/PR/171010/000003,37,1,visible_text
United Oxygen Company Private Limited,37,5,visible_text
Godrej United,13,2,visible_text
APPROVED,8,1,visible_text
Bengaluru East,14,2,visible_text
10/10/2017,10,1,visible_text
28/02/2022,10,1,visible_text
31-05-2021,10,1,visible_text
31-05-2021 - 28-02-2022,23,3,visible_text
2,1,1,visible_text
PR/KN/170726/000032,19,1,visible_text
PRM/KA/RERA/1251/310/PR/170824/000032,37,1,visible_text
SOBHA LIMITED,13,2,visible_text
"Sobha Silicon Oasis Phase 1 Wing 1, 2, 3, 4, 5 & 6",50,13,visible_text
Bengaluru South,15,2,visible_text
24/08/2017,10,1,visible_text
01/04/2019,10,1,visible_text
01-04-2019,10,1,visible_text
3,1,1,visible_text
PR/KN/170728/000131,19,1,visible_text
Green House Developers,22,3,visible_text
Lake View Towers,16,3,visible_text
REJECTED,8,1,visible_text
This is a dummy entry with no payment or documents.It is rejected.,66,12,visible_text
Bengaluru North,15,2,visible_text
01/07/2018,10,1,visible_text
01-07-2018,10,1,visible_text
4,1,1,visible_text
PR/KN/170725/000006,19,1,visible_text
PRM/KA/RERA/1251/446/PR/170819/000006,37,1,visible_text
Godrej Housing Projects LLP,27,4,visible_text
Godrej Air,10,2,visible_text
19/08/2017,10,1,visible_text
30/09/2023,10,1,visible_text
31-12-2022,10,1,visible_text
31-12-2022 - 30-09-2023,23,3,visible_text
5,1,1,visible_text
PR/KN/170731/000192,19,1,visible_text
PRM/KA/RERA/1251/310/PR/171014/000192,37,1,visible_text
VBHC Mumbai Value Homes pvt. ltd.,33,6,visible_text
VBHC Palmhaven 2,16,3,visible_text
14/10/2017,10,1,visible_text
30/06/2019,10,1,visible_text
30-06-2019,10,1,visible_text
6,1,1,visible_text
PR/KN/170729/000268,19,1,visible_text
PRM/KA/RERA/1251/446/PR/171015/000268,37,1,visible_text
Citrus Properties Private Limited,33,4,visible_text
Polaris,7,1,visible_text
15/10/2017,10,1,visible_text
31/12/2017,10,1,visible_text
31-12-2017,10,1,visible_text
7,1,1,visible_text
PR/KN/170729/000144,19,1,visible_text
PRM/KA/RERA/1251/309/PR/170913/000144,37,1,visible_text
vajram estates private limited,30,4,visible_text
vajram tiara,12,2,visible_text
13/09/2017,10,1,visible_text
31/12/2019,10,1,visible_text
31-12-2019,10,1,visible_text
8,1,1,visible_text
PR/KN/170803/001028,19,1,visible_text
PRM/KA/RERA/1251/310/PR/171021/001028,37,1,visible_text
SAF CONSTRUCTION AND PROJECTS PVT. LTD.,39,6,visible_text
SAF SNOWDROPS ANNEX BLOCK D,27,5,visible_text
21/10/2017,10,1,visible_text
02/10/2018,10,1,visible_text
02-10-2017,10,1,visible_text
02-10-2017 - 02-10-2018,23,3,visible_text
9,1,1,visible_text
PR/KN/170728/000051,19,1,visible_text
PRM/KA/RERA/1251/309/PR/171019/000051,37,1,visible_text
"THE PROPOSED PROJECT COMPLETION DATE FOR THIS PROJECT IS EXPIRED, THE BUYERS MAY TAKE AN INFORMED DECISION ACCORDINGLY",118,18,visible_text
SRC DIVAKARS,12,2,visible_text
SKY ASTA,8,2,visible_text
19/10/2017,10,1,visible_text
10,2,1,visible_text
PR/KN/170730/000301,19,1,visible_text
PRM/KA/RERA/1251/446/PR/171014/000301,37,1,visible_text
KRISHNA E CAMPUS PVT LTD,24,5,visible_text
LAPALAZZO RESIDENCES,20,2,visible_text
30/09/2019,10,1,visible_text
30-09-2018,10,1,visible_text
30-09-2018 - 30-09-2019,23,3,visible_text
11,2,1,visible_text
PR/KN/170730/000242,19,1,visible_text
